name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"asheville,NC",2023-01-01,62.8,40.3,48.1,62.8,40.3,48.1,45.4,90.4,0.001,100,4.17,rain,0,0,8.1,3.6,313.1,1018.8,64.9,4.5,83.5,7,5,10,2023-01-01T07:39:54,2023-01-01T17:27:50,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-02,65.3,40.4,49,65.3,40.4,48.9,46.6,90.2,0.001,100,4.17,rain,0,0,8.1,4.8,169,1022.1,75.3,5.2,64.4,5.6,5,10,2023-01-02T07:40:04,2023-01-02T17:28:37,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-03,64,49.4,57.5,64,49.4,57.5,55.4,90.8,0.435,100,20.83,rain,0,0,32.2,9.1,185,1017.2,91.8,8.9,43.4,3.6,4,10,2023-01-03T07:40:12,2023-01-03T17:29:25,0.39,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-04,60.6,42.3,54.8,60.6,40.2,54.7,53.3,94.4,1,100,50,rain,0,0,18.3,7,173.8,1013,75,7.8,32.8,2.8,2,10,2023-01-04T07:40:18,2023-01-04T17:30:14,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-05,58.2,32.8,44.8,58.2,32.8,44,29.4,62.2,0.002,100,8.33,"rain,snow",0,0,24.2,8.7,287.8,1015.9,0.2,9.6,87.5,7.5,5,10,2023-01-05T07:40:22,2023-01-05T17:31:04,0.46,"Snow, Rain",Clear conditions throughout the day with rain or snow in the morning and afternoon.,rain,"72314453890,72315003812,F2588,99999953877,99999953878,KAVL"
"asheville,NC",2023-01-06,50.4,32.3,39.6,50.4,25.2,36.4,24.6,56,0,0,0,,0,0,19.7,9.4,333.9,1020.6,0,9.9,86.6,7.4,5,10,2023-01-06T07:40:24,2023-01-06T17:31:55,0.5,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-07,48.3,28.6,39,46.7,26.3,38.3,28.2,67.4,0,0,0,,0,0,11.4,4.3,337.3,1025,65.2,9.9,38,3.3,2,10,2023-01-07T07:40:25,2023-01-07T17:32:48,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72314453890,72315003812,F2588,99999953877,AV659,KAVL"
"asheville,NC",2023-01-08,43.7,39.4,42.1,43,37,40.6,37.7,84.8,0.343,100,62.5,rain,0,0,15,6,155.5,1022.6,99.6,8.6,17.9,1.5,1,10,2023-01-08T07:40:23,2023-01-08T17:33:41,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-09,46.5,29.4,40.2,42.9,29.4,36.9,32.9,76.3,0,0,0,,0,0,29.9,10,346.3,1019.5,43.4,9.8,51.2,4.4,4,10,2023-01-09T07:40:19,2023-01-09T17:34:35,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72314453890,MAHN7,72315003812,F2588,99999953877,AV659,KAVL"
"asheville,NC",2023-01-10,54,25.4,36.1,54,25.4,36.1,26.9,75.1,0,0,0,,0,0,6.9,2.8,321.4,1018.2,2.2,9.7,87.7,7.5,5,10,2023-01-10T07:40:14,2023-01-10T17:35:30,0.63,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-11,54.4,28.8,40.7,54.4,28.8,40.6,34.3,80.4,0,0,0,,0,0,18.3,6.3,145.4,1018.3,34.2,9.8,70,5.9,5,10,2023-01-11T07:40:06,2023-01-11T17:36:26,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-12,61.3,36.2,48,61.3,36.2,47.7,45.9,91.1,0.664,100,20.83,rain,0,0,47.2,9.5,180.7,1012.1,73.7,8.1,34.8,3,2,10,2023-01-12T07:39:57,2023-01-12T17:37:23,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,AV659,KAVL"
"asheville,NC",2023-01-13,46.5,30.2,38,44.2,22.5,31.7,31.3,77.1,0.031,100,8.33,"rain,snow",0,0,40.3,12.5,341.9,1009.8,69.8,9.5,69.4,5.9,4,10,2023-01-13T07:39:45,2023-01-13T17:38:20,0.73,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-14,31.9,25.7,28.9,23.8,14.4,19.6,18.9,66.1,0,0,0,snow,0.4,0,37.9,15.4,345.8,1017.6,64.7,9.3,46.5,3.9,3,10,2023-01-14T07:39:32,2023-01-14T17:39:18,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-15,49.4,22.2,32.8,47.5,13.3,28.2,13.9,50,0,0,0,"rain,snow",0,0.1,36.9,13.1,349.7,1021.6,0,9.9,95.2,8.2,5,10,2023-01-15T07:39:17,2023-01-15T17:40:17,0.79,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-16,51.4,23.1,36.3,51.4,23.1,36.3,20.9,58.5,0,0,0,"rain,snow",0,0.1,6.9,3.1,149.3,1018.2,1.1,9.9,79.5,6.8,5,10,2023-01-16T07:39:00,2023-01-16T17:41:16,0.83,Clear,Clear conditions throughout the day.,clear-day,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-17,60.3,39.4,45.9,60.3,37.4,45.7,37.4,73.3,0.001,100,4.17,rain,0,0,13.9,5,332.9,1010.8,47.3,9.8,50.5,4.3,3,10,2023-01-17T07:38:41,2023-01-17T17:42:16,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-18,61.4,33.2,46.9,61.4,31.7,46.5,41.2,83,0.015,100,4.17,rain,0,0,11.4,7.2,9,1015.8,19.5,9.4,63.8,5.6,3,10,2023-01-18T07:38:20,2023-01-18T17:43:16,0.89,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-19,63.8,52.3,56.8,63.8,52.3,56.8,46.9,72.9,0.226,100,41.67,rain,0,0,26.4,9.1,192.9,1010.1,59.8,8.5,57.7,5,4,10,2023-01-19T07:37:57,2023-01-19T17:44:17,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-20,51.6,38,43.9,51.6,32.5,40.6,27,52.2,0,0,0,,0,0,34.4,8.7,337.7,1015.2,0,9.9,96,8.4,6,10,2023-01-20T07:37:32,2023-01-20T17:45:18,0.96,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,AV659,KAVL"
"asheville,NC",2023-01-21,47.7,27.5,37.1,47.5,23.8,34.6,26.6,67.2,0,0,0,,0,0,24.2,8,12,1021.3,2,9.9,90.5,8,4,10,2023-01-21T07:37:06,2023-01-21T17:46:19,0,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,99999953878,KAVL"
"asheville,NC",2023-01-22,42,34.3,38.5,42,30.4,36,35.2,88.6,0.389,100,58.33,"rain,snow",0,0,15,6.8,150.8,1012.2,95.3,6.8,35.1,3,2,10,2023-01-22T07:36:37,2023-01-22T17:47:21,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72314453890,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-23,41.7,30.2,36.2,41.6,24.4,30.5,29.4,76.9,0.107,100,16.67,rain,0,0,33.3,13.3,333.7,1015.8,53.2,9.5,39.9,3.5,2,10,2023-01-23T07:36:07,2023-01-23T17:48:23,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-24,53,25.2,37.1,53,22.1,34.7,21.8,58.2,0,0,0,,0,0,19.5,6.2,27.9,1024.2,4,9.9,106,8.9,6,10,2023-01-24T07:35:35,2023-01-24T17:49:25,0.1,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-25,54.3,35.7,43,54.3,31.3,40.4,37.7,82.4,1.113,100,37.5,rain,0,0,28.9,8.8,177.2,1010.7,69.5,6.6,90.4,8.1,5,10,2023-01-25T07:35:02,2023-01-25T17:50:27,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,AV659,KAVL"
"asheville,NC",2023-01-26,42.8,29.2,36.3,37.7,27.9,32.6,23.9,61.3,0,0,0,,0,0,32.2,8.6,344.3,1014.3,52.9,9.9,59.3,5.2,4,10,2023-01-26T07:34:26,2023-01-26T17:51:30,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-27,45.4,24.8,33.1,45.3,22.6,30.9,18.2,57.3,0,0,0,,0,0,23,7.9,334.7,1022.5,17.4,9.9,117,10.1,6,10,2023-01-27T07:33:49,2023-01-27T17:52:32,0.2,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-28,54.2,21.7,35.7,54.2,21.7,35.1,21.7,62.5,0,0,0,,0,0,18.3,6.8,171.2,1027.5,0,9.9,107.5,9.2,5,10,2023-01-28T07:33:10,2023-01-28T17:53:35,0.25,Clear,Clear conditions throughout the day.,clear-day,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-29,50.2,34.1,42.3,50.2,33.6,41.7,29,60.8,0.047,100,16.67,rain,0,0,10.3,5,141.3,1023.8,78.3,9.8,33,2.8,1,10,2023-01-29T07:32:29,2023-01-29T17:54:38,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-30,59.8,41.4,47.8,59.8,41.4,47.8,44.9,90.2,0.234,100,20.83,rain,0,0,9.2,4.5,340.5,1021.4,70.7,7.8,68.8,5.9,4,10,2023-01-30T07:31:47,2023-01-30T17:55:40,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-01-31,56.8,42.9,48.7,56.8,42.9,48.5,47.3,94.4,0.088,100,8.33,rain,0,0,11.4,5.2,341.9,1019.8,83,8.3,59.2,5.2,4,10,2023-01-31T07:31:03,2023-01-31T17:56:43,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-02-01,48.8,39.9,44.1,48.3,35,41.4,40.2,86.6,0.003,100,12.5,rain,0,0,32.2,9.9,342.2,1020.8,86.3,8.7,49.8,4.1,3,10,2023-02-01T07:30:18,2023-02-01T17:57:46,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,KAVL"
"asheville,NC",2023-02-02,43,38.8,40.9,43,34.5,38.9,38.9,92.8,0.447,100,91.67,rain,0,0,21.9,6.5,335.7,1020.5,100,8,27.6,2.4,1,10,2023-02-02T07:29:31,2023-02-02T17:58:48,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72314453890,MAHN7,72315003812,F2588,99999953877,AV659,KAVL"
