name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Banner Elk, NC",2023-01-01,61.7,45.9,51.4,61.7,45.6,50.8,47.4,87.1,0.059,100,8.33,rain,0,0,27.7,6.4,308.7,1019.1,73.4,6.1,27.9,2.4,1,10,2023-01-01T07:38:40,2023-01-01T17:23:37,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"NCVN7,72314863859,72314653892,F8439,KMRN,KGEV,K0A9,E6072"
"Banner Elk, NC",2023-01-02,64.7,45.5,52.5,64.7,45.5,52.5,48.1,86.2,0,0,0,,0,0,18.3,3.1,355.1,1022.2,47.6,7.5,46.6,3.9,3,10,2023-01-02T07:38:49,2023-01-02T17:24:24,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NCVN7,72314863859,72314653892,F8439,KMRN,KGEV,K0A9"
"Banner Elk, NC",2023-01-03,68.5,51.3,57.8,68.5,51.3,57.8,53.5,86.7,0.278,100,29.17,rain,0,0,40.3,12.8,214.7,1017.5,68.1,8.2,38.7,3.1,2,10,2023-01-03T07:38:57,2023-01-03T17:25:13,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"NCVN7,72314863859,72314653892,F8439,KMRN,KGEV,K0A9,E6072"
"Banner Elk, NC",2023-01-04,63.6,51,57.2,63.6,51,57.2,53.9,88.9,0.553,100,29.17,rain,0,0,32.2,7.9,1.2,1013.3,70.8,8.5,21.9,1.9,1,10,2023-01-04T07:39:02,2023-01-04T17:26:02,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72314863859,0586W,72314653892,F8439,KMRN,KGEV,K0A9,E6072"
"Banner Elk, NC",2023-01-05,57,38.3,46.7,57,36.6,45.3,32.4,61.2,0.024,100,8.33,rain,0,0,43.8,12.5,281.9,1016.2,7,9,56.1,4.7,5,10,2023-01-05T07:39:06,2023-01-05T17:26:53,0.46,Rain,Clear conditions throughout the day with afternoon rain.,rain,"NCVN7,KTRI,72335013877,72301003810,72314863859,72314653892,F8439,KMRN,KGEV,K0A9,E6072"
"Banner Elk, NC",2023-01-06,49.2,32.5,41.7,45.6,31.2,38,26,54.8,0,0,0,,0,0,35.6,12.9,271.3,1020.9,13.4,9.9,54.3,4.5,5,10,2023-01-06T07:39:08,2023-01-06T17:27:45,0.5,Clear,Clear conditions throughout the day.,clear-day,"NCVN7,KTRI,72314863859,72314653892,F8439,KMRN,KGEV,K0A9,E6072"
"Banner Elk, NC",2023-01-07,48.7,30.4,38.8,45.8,29.2,37.4,30,72.4,0,0,0,,0,0,25.3,8.6,305.8,1024.8,58.3,9.8,35.8,3,2,10,2023-01-07T07:39:07,2023-01-07T17:28:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NCVN7,KTRI,72335013877,72314863859,72314653892,F8439,KMRN,KGEV,K0A9,E6072"
"Banner Elk, NC",2023-01-08,44,38.2,40.4,44,36,39.3,36.9,87.9,0.536,100,62.5,rain,0,0,21.9,5,75.9,1022.4,99.6,7.5,17.8,1.4,1,10,2023-01-08T07:39:05,2023-01-08T17:29:32,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"NCVN7,KTRI,72335013877,72301003810,72314863859,0586W,72314653892,F8439,KMRN,KGEV,K0A9"
"Banner Elk, NC",2023-01-09,46.2,28.6,39.5,43.5,28.6,36.5,32.4,76.8,0.002,100,4.17,rain,0,0,30,9.1,311.5,1019.9,58.6,9.1,26,2.1,2,10,2023-01-09T07:39:01,2023-01-09T17:30:27,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"NCVN7,KTRI,72335013877,72314863859,0586W,72314653892,F8439,KMRN,KGEV,K0A9,E6072"
"Banner Elk, NC",2023-01-10,51.5,26.4,36.1,51.5,26.4,35.8,23.4,65.9,0,0,0,,0,0,18.3,5.5,297.1,1017.7,26.3,9.5,63.1,5.4,6,10,2023-01-10T07:38:55,2023-01-10T17:31:22,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NCVN7,KTRI,72314863859,72314653892,F8439,KMRN,KGEV,KTNB,72219863819,K0A9,E6072"
