name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Boone, NC",2023-01-01,59.4,47.1,51.2,59.4,43.8,49.4,45.4,81.1,0.074,100,8.33,rain,0,0,27.7,10.4,285,1019.3,68.3,7.8,48.1,4.1,2,10,2023-01-01T07:38:04,2023-01-01T17:22:43,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72314863859,0586W,72314653892,KMRN,KGEV,E6072"
"Boone, NC",2023-01-02,64.6,45.3,53.1,64.6,45.3,53.1,47.2,81.5,0,0,0,,0,0,18.3,6.6,271.1,1022.8,41.2,8.1,56.3,4.7,4,10,2023-01-02T07:38:14,2023-01-02T17:23:31,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"RVZN7,72314863859,72314653892,KMRN,KGEV,E6072"
"Boone, NC",2023-01-03,64.8,50.4,56.6,64.8,50.4,56.6,52.5,86.6,0.202,100,29.17,rain,0,0,40.3,23.3,192.6,1018.6,70.3,8.2,42.6,3.8,3,10,2023-01-03T07:38:21,2023-01-03T17:24:19,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"RVZN7,72314863859,72314653892,KMRN,KGEV,E6072,K0A9"
"Boone, NC",2023-01-04,59.4,51.7,55.8,59.4,51.7,55.8,52.6,89.4,0.487,100,29.17,rain,0,0,32.2,15.3,203,1014.2,75,8.4,21.6,1.9,1,10,2023-01-04T07:38:27,2023-01-04T17:25:09,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72314863859,0586W,72314653892,KMRN,KGEV,E6072,K0A9"
"Boone, NC",2023-01-05,57.3,40.3,47,57.3,35.5,44.3,29.9,53.4,0.021,100,8.33,rain,0,0,43.8,18.6,275.4,1015.9,5.8,9,122.8,10.7,5,10,2023-01-05T07:38:31,2023-01-05T17:26:00,0.46,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72301003810,72314863859,KHKY,0586W,72314653892,72316563821,KMRN,KGEV,E6072,K0A9"
"Boone, NC",2023-01-06,46.6,33.8,40.3,43.2,29.7,35,24.5,53.8,0,0,0,,0,0,39.1,16.3,273.2,1020,10.5,9.9,109.8,9.5,5,10,2023-01-06T07:38:32,2023-01-06T17:26:52,0.5,Clear,Clear conditions throughout the day.,clear-day,"72301003810,72314863859,0586W,72314653892,KMRN,KGEV,K0A9,E6072"
"Boone, NC",2023-01-07,48.5,32.3,38.7,46.6,26.7,35.1,28.7,68.2,0,0,0,,0,0,25.3,11.8,282.5,1024.1,46,9.7,61.9,5.4,3,10,2023-01-07T07:38:32,2023-01-07T17:27:45,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72301003810,72314863859,0586W,72314653892,72316563821,KMRN,KGEV,E6072,K0A9"
"Boone, NC",2023-01-08,41.7,34.7,37.4,41.7,31.4,36.2,34.3,88.9,0.414,100,58.33,"rain,snow",0,0,19.5,6.6,121.6,1022.9,99.9,7.5,15.1,1.2,1,10,2023-01-08T07:38:30,2023-01-08T17:28:39,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"RVZN7,72301003810,72314863859,KHKY,0586W,KVJI,72314653892,KMRN,KGEV,E6072,K0A9"
"Boone, NC",2023-01-09,41.8,29.1,37.2,38.9,28,32.7,30.4,76.6,0.002,100,4.17,rain,0,0,28.9,13.1,308.7,1019.2,60.4,9.5,52.8,4.5,4,10,2023-01-09T07:38:25,2023-01-09T17:29:34,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72314863859,0586W,72314653892,72316563821,KMRN,KGEV,K0A9,E6072"
"Boone, NC",2023-01-10,49.9,26.1,35.4,49.9,26.1,34.8,21,62.3,0,0,0,,0,0,18.3,7.8,280.6,1017.2,22.2,9.9,95.7,8.3,5,10,2023-01-10T07:38:19,2023-01-10T17:30:29,0.63,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72314863859,0586W,72314653892,KMRN,KGEV,KTNB,E6072,72219863819"
"Boone, NC",2023-01-11,50,32.7,41.3,46.4,27,38.5,32.5,72.1,0,0,0,,0,0,19.7,14.9,208.1,1018,53.7,9.9,62.5,5.3,3,10,2023-01-11T07:38:11,2023-01-11T17:31:26,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"0586W,72314653892,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-12,49.4,34.8,44.2,46.1,34.8,42.2,42.5,94.1,0.313,100,16.67,rain,0,0,35.8,14,229,1013.2,79,7.3,30.6,2.5,3,10,2023-01-12T07:38:00,2023-01-12T17:32:24,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"RVZN7,72314653892,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-13,44.9,26,33.7,40.4,13.5,24,29,83.1,0.044,100,12.5,"rain,snow",0.7,0,32,19.6,311.7,1007.9,93.6,7.1,55,4.7,3,10,2023-01-13T07:37:48,2023-01-13T17:33:22,0.73,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"0586W,72314653892,KMRN,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-14,25,19.9,23,12.2,5.9,8.7,16.3,75.1,0,0,0,snow,1.5,0.1,43.6,25.3,307.4,1013.5,60.7,7.2,47.4,4,2,10,2023-01-14T07:37:34,2023-01-14T17:34:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"RVZN7,0586W,72314653892,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-15,42.4,19.2,28.8,36.7,2.8,20.9,12.3,54.8,0,0,0,"rain,snow",0,0.3,31.1,21.2,282.3,1019.4,0,9.9,125.9,10.8,7,10,2023-01-15T07:37:18,2023-01-15T17:35:20,0.79,Clear,Clear conditions throughout the day.,clear-day,"RVZN7,72314863859,0586W,72314653892,KMRN,KTNB,KGEV,72219863819,K0A9,E6072"
"Boone, NC",2023-01-16,51.9,22.4,35,51.9,22.4,34.8,17.9,56.8,0,0,0,"rain,snow",0,0.1,12.8,5.7,60.5,1016.9,16,9.9,108,9.5,7,10,2023-01-16T07:37:00,2023-01-16T17:36:20,0.83,Clear,Clear conditions throughout the day.,clear-day,"0586W,72314653892,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-17,49.6,34.6,44.1,46.2,34.6,41.5,40.7,88.2,0.092,100,37.5,rain,0,0,25.3,14.5,282.2,1010.7,78.9,8.7,21.5,1.8,1,10,2023-01-17T07:36:40,2023-01-17T17:37:21,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"RVZN7,0586W,72314653892,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-18,58.1,42.5,49.4,58.1,37.8,46.3,37.6,66.8,0,0,0,rain,0,0,33.3,23.1,287.8,1016.2,17.2,9.9,103.5,8.9,7,10,2023-01-18T07:36:18,2023-01-18T17:38:22,0.89,Clear,Clear conditions throughout the day.,clear-day,"RVZN7,0586W,72314653892,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-19,53.8,45.7,50.4,53.8,40.5,49.8,45.5,85.5,0.114,100,41.67,rain,0,0,35.8,22.4,245,1011.2,74.5,5.6,29.3,2.5,2,10,2023-01-19T07:35:54,2023-01-19T17:39:24,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"RVZN7,72314863859,0586W,72314653892,F8439,KMRN,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-20,46.6,31.4,36.8,39.7,21.1,25.6,26.3,65.8,0,0,0,,0,0,44,28.2,294.9,1013.6,36.1,9.9,83,7.1,6,10,2023-01-20T07:35:28,2023-01-20T17:40:26,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"RVZN7,0586W,72314653892,KMRN,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-21,44.7,28.1,33.7,43.2,17.9,28.8,24.5,69.9,0,0,0,,0,0,28.9,12.6,293.1,1019.7,26.9,9.9,111.8,9.6,6,10,2023-01-21T07:35:01,2023-01-21T17:41:29,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"RVZN7,KUKF,72301003810,0586W,72314653892,KMRN,KTNB,KGEV,72219863819,E6072,K0A9"
"Boone, NC",2023-01-22,40.6,31.6,35.7,40.6,26.5,34.1,34.2,94.4,0.1,100,33.33,"rain,snow",0.1,0,15,8.5,93.4,1011.2,90.3,6,26,2.3,2,10,2023-01-22T07:34:31,2023-01-22T17:42:32,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KUKF,0586W,72314653892,F8439,KMRN,KTNB,KGEV,72219863819,K0A9,E6072"
"Boone, NC",2023-01-23,40.3,27.3,31.7,35,12.4,19.9,27.9,86.1,0.04,100,20.83,"rain,snow",0.9,0.2,48.2,33.1,295.1,1012.9,87.8,6.9,36.4,3.1,3,10,2023-01-23T07:34:00,2023-01-23T17:43:35,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"RVZN7,0586W,72314653892,KMRN,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-24,48.4,27,33.4,48.4,14.4,28.4,21.5,65.5,0,0,0,,0,0.4,30.1,19,284.2,1022.4,14.8,9.9,147.7,12.6,7,10,2023-01-24T07:33:27,2023-01-24T17:44:38,0.1,Clear,Clear conditions throughout the day.,clear-day,"RVZN7,0586W,72314653892,KTNB,KGEV,72219863819,E6072"
"Boone, NC",2023-01-25,48.6,32.1,39.2,45.4,25.6,35.3,35,85.8,0.764,100,25,"rain,snow",0,0,31,23.2,253.7,1010.5,88.2,6.9,41.5,3.4,2,10,2023-01-25T07:32:52,2023-01-25T17:45:41,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"RVZN7,0586W,72314653892,KTNB,KGEV,72219863819,E6072"
