name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"charlotte, nc",2023-01-01,58,49.3,54.2,58,49.3,54.2,52,92.4,0.107,100,4.17,rain,0,0,8.1,7.6,236.3,1018.8,85.3,5.5,22,1.9,1,10,2023-01-01T07:32:03,2023-01-01T17:21:57,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-02,68.8,50.8,57.7,68.8,50.8,57.7,53.2,86.5,0,0,0,,0,0,11.4,7.7,225.3,1022,80.7,5.9,29.3,2.6,2,10,2023-01-02T07:32:13,2023-01-02T17:22:43,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-03,71.8,52.6,60.9,71.8,52.6,60.9,56.3,85.5,0.519,100,16.67,rain,0,0,25.9,16.1,199.5,1018.8,82.1,8.7,35,3,2,10,2023-01-03T07:32:22,2023-01-03T17:23:31,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-04,63.1,57.9,61.3,63.1,57.9,61.3,59.4,93.3,1.287,100,54.17,rain,0,0,26.4,12.6,202.7,1013.7,89.1,8.3,12.5,1,1,10,2023-01-04T07:32:28,2023-01-04T17:24:20,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-05,65.8,44.4,55.7,65.8,44.4,55.7,39,57.7,0,0,0,,0,0,28.3,16.7,234.4,1015.7,16.4,9.8,25.8,2.2,2,10,2023-01-05T07:32:33,2023-01-05T17:25:10,0.46,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-06,56.9,37.1,46.7,56.9,36.4,46,29.7,53.5,0,0,0,,0,0,20.8,8.2,283.9,1020.6,15,9.9,32.1,2.8,2,10,2023-01-06T07:32:35,2023-01-06T17:26:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-07,55.9,37.2,46.3,55.9,36.3,45.6,31.8,59,0,0,0,,0,0,8.1,7.1,214.5,1025,70.5,9.9,28.3,2.4,1,10,2023-01-07T07:32:36,2023-01-07T17:26:52,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-08,49.4,40,45.3,47.9,33.9,42.8,38.3,77.2,0.211,100,25,rain,0,0,16.1,11.9,37.4,1023.9,95.1,8.4,22,2,1,10,2023-01-08T07:32:35,2023-01-08T17:27:45,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-09,56.7,34.9,44.7,56.7,34.2,43.2,36.1,75.5,0.018,100,4.17,rain,0,0,20.8,15,338.3,1019.3,48.2,6.6,31.6,2.8,2,10,2023-01-09T07:32:32,2023-01-09T17:28:39,0.59,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
"charlotte, nc",2023-01-10,57,31.1,43.8,57,31.1,43.3,33.9,70.4,0,0,0,,0,0,11.4,9.3,191.6,1018.3,47.4,9.5,30.9,2.7,2,10,2023-01-10T07:32:27,2023-01-10T17:29:34,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,F2338"
