name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"emerald isle, nc",2023-01-01,74.4,54.6,62.8,74.4,54.6,62.8,55.1,77.9,0,0,0,,0,0,16.1,11.7,254.5,1018.1,32.8,5.3,126.2,10.8,5,10,2023-01-01T07:15:06,2023-01-01T17:07:48,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,72309013754,KNKT"
"emerald isle, nc",2023-01-02,69.6,48.5,57.6,69.6,48.5,57.6,51.5,80.8,0,0,0,,0,0,10.3,7.9,241.8,1022.8,19.6,5.1,126.8,10.8,5,10,2023-01-02T07:15:17,2023-01-02T17:08:34,0.35,Clear,Clear conditions throughout the day.,clear-day,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,NBRN7,72309013754,KNKT"
"emerald isle, nc",2023-01-03,74.6,51,62.8,74.6,51,62.8,57,82.1,0,0,0,,0,0,25.3,11.7,216.2,1021.1,7.1,6.1,102.5,8.8,5,10,2023-01-03T07:15:26,2023-01-03T17:09:21,0.39,Clear,Clear conditions throughout the day.,clear-day,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,72309013754,KNKT"
"emerald isle, nc",2023-01-04,70.8,62.9,66.5,70.8,62.9,66.5,61.2,83.3,0.056,100,12.5,rain,0,0,30.7,19.2,218.2,1017.1,41.7,6,57.4,5,3,30,2023-01-04T07:15:33,2023-01-04T17:10:09,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,72309013754,KNKT"
"emerald isle, nc",2023-01-05,69.8,58.5,64,69.8,58.5,64,55,73.2,0.016,100,4.17,rain,0,0,25.3,14.7,233.6,1016.9,34.4,8.2,124.4,10.6,5,10,2023-01-05T07:15:38,2023-01-05T17:10:59,0.46,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KNJM,72309793743,72303793765,KMRH,NPTN7,72309013754,KNKT"
"emerald isle, nc",2023-01-06,64.5,47.1,56.4,64.5,45.9,56.3,35.6,47.2,0,0,0,,0,0,23,11.5,286.7,1020,0,9.9,136.7,11.7,5,10,2023-01-06T07:15:41,2023-01-06T17:11:49,0.5,Clear,Clear conditions throughout the day.,clear-day,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,NBRN7,72309013754,KNKT"
"emerald isle, nc",2023-01-07,58.5,40.5,48,58.5,37.5,46.5,34.1,60.2,0,0,0,,0,0,13.9,10,343.9,1025.3,2.4,9.6,98.8,8.5,5,10,2023-01-07T07:15:42,2023-01-07T17:12:41,0.52,Clear,Clear conditions throughout the day.,clear-day,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,72309013754,KNKT"
"emerald isle, nc",2023-01-08,60.7,37.5,49.8,60.7,35.5,49.3,38.2,65.7,0.051,100,12.5,rain,0,0,17.2,7.7,72.2,1025.5,48,9.5,94.8,8.3,5,10,2023-01-08T07:15:42,2023-01-08T17:13:33,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,72309013754,KNKT"
"emerald isle, nc",2023-01-09,59.5,39.6,52.2,59.5,36.5,51.9,42.1,69.9,0.005,100,8.33,rain,0,0,21.9,13.2,327.1,1017.5,30.2,9.1,126.6,10.9,5,10,2023-01-09T07:15:39,2023-01-09T17:14:26,0.59,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KNJM,72309793743,72303793765,KMRH,NPTN7,NBRN7,72309013754,KNKT"
"emerald isle, nc",2023-01-10,58.6,33.7,45.4,58.6,33.7,45.3,33.3,65.4,0,0,0,,0,0,11.4,7,235.4,1019.7,6.3,9.3,117.8,10.1,5,10,2023-01-10T07:15:35,2023-01-10T17:15:20,0.63,Clear,Clear conditions throughout the day.,clear-day,"KNJM,72309793743,72303793765,KMRH,NPTN7,D9307,NBRN7,72309013754,KNKT"
