name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nags Head, NC",2023-01-01,63.3,47.4,55.6,63.3,47.4,55.6,53.9,94.2,0.002,100,4.17,rain,0,0,18.3,7.9,281.8,1016.7,34.9,8.6,178.5,14.8,6,10,2023-01-01T07:13:13,2023-01-01T16:59:09,0.32,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72304613766,F5918,72028203736,KFFA,KMQI,F6624"
"Nags Head, NC",2023-01-02,63.2,46.7,53.1,63.2,45.6,52.9,50,90.1,0.003,100,4.17,rain,0,0,8.1,4.7,253.9,1021.5,4.6,9.1,175.7,14.5,6,10,2023-01-02T07:13:23,2023-01-02T16:59:56,0.35,Rain,Clear conditions throughout the day with morning rain.,rain,"72304613766,F5918,72028203736,KFFA,KMQI,F6624"
"Nags Head, NC",2023-01-03,67,50.8,57.7,67,50.8,57.7,54.2,89,0,0,0,,0,0,20.8,8.2,201.2,1019.9,0,9.4,162.3,13.4,5,10,2023-01-03T07:13:31,2023-01-03T17:00:44,0.39,Clear,Clear conditions throughout the day.,clear-day,"72304613766,F5918,72028203736,KFFA,KMQI,F6624"
"Nags Head, NC",2023-01-04,71.5,59.9,63.3,71.5,59.9,63.3,60,89.4,0.014,100,4.17,rain,0,0,30,13.7,214.5,1015.3,32,9.7,128,10.4,5,60,2023-01-04T07:13:37,2023-01-04T17:01:34,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72304613766,F5918,72028203736,KFFA,KMQI,F6624"
"Nags Head, NC",2023-01-05,64.1,53.9,59.7,64.1,53.9,59.7,54.5,83.3,0,0,0,,0,0,17.2,8.2,242.9,1015,25.5,9.9,109,8.6,4,10,2023-01-05T07:13:40,2023-01-05T17:02:24,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99820999999,K2DP,72304613766,F5918,72028203736,KFFA,KMQI,F6624,72307013786,99730799999"
"Nags Head, NC",2023-01-06,55.3,45.7,51.3,55.3,44.6,50.7,39.9,65.8,0,0,0,,0,0,19.5,10.3,265.3,1017.9,4.8,9.9,183.3,15.3,6,10,2023-01-06T07:13:42,2023-01-06T17:03:16,0.5,Clear,Clear conditions throughout the day.,clear-day,"72304613766,F5918,72028203736,KFFA,KMQI,F6624"
"Nags Head, NC",2023-01-07,47.8,39.2,44.5,47.3,39.2,44,33.6,65.8,0,0,0,,0,0,13.9,5.6,348.7,1024.3,9.8,9.9,106.6,8.8,3,10,2023-01-07T07:13:42,2023-01-07T17:04:09,0.52,Clear,Clear conditions throughout the day.,clear-day,"72304613766,F5918,72362603737,72028203736,KFFA,KMQI,F6624,72307013786,KECG"
"Nags Head, NC",2023-01-08,50.7,38.3,44.6,50.7,38.3,44.2,37.1,75.4,0,0,0,,0,0,12.8,5,80.8,1025.6,54,9.5,136.9,11.4,5,10,2023-01-08T07:13:40,2023-01-08T17:05:02,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72304613766,F5918,72028203736,KFFA,KMQI,F6624"
"Nags Head, NC",2023-01-09,53.6,41.8,47.5,53.6,39.1,46,42.3,83.2,0.242,100,33.33,rain,0,0,21.9,10.5,323.9,1016.1,57.5,8.5,132.3,10.9,5,10,2023-01-09T07:13:36,2023-01-09T17:05:57,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72304613766,F5918,72028203736,KFFA,KMQI,F6624"
"Nags Head, NC",2023-01-10,49.3,36.8,43,49.3,36.8,43,36.2,77.8,0.003,100,4.17,rain,0,0,8.1,3,342.5,1018.8,5.2,9.6,156.9,12.8,5,10,2023-01-10T07:13:30,2023-01-10T17:06:53,0.63,Rain,Clear conditions throughout the day with early morning rain.,rain,"K2DP,72304613766,F5918,72028203736,KFFA,KMQI,F6624,72307013786"
"Nags Head, NC",2023-01-11,50.8,38.7,44.6,50.8,38.7,44.4,38.8,81,0,0,0,,0,0,11.4,7.1,55.5,1020.9,11.6,9.1,141.4,11.8,5,10,2023-01-11T07:13:22,2023-01-11T17:07:49,0.66,Clear,Clear conditions throughout the day.,clear-day,"K2DP,72304613766,F5918,KFFA,72028203736,KMQI,F6624,72307013786,KECG"
"Nags Head, NC",2023-01-12,64.2,49.4,57.6,64.2,49,57.5,50.1,76.8,0.027,100,8.33,rain,0,0,27.5,11,178.7,1017.5,67.6,9.7,65.5,4.8,1,10,2023-01-12T07:13:12,2023-01-12T17:08:46,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"K2DP,72304613766,F5918,KFFA,72028203736,KMQI,1049W,F6624,72307013786"
