name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Wilmington,2023-01-01,73,52.5,63.3,73,52.5,63.3,56.8,81.4,0,0,0,,0,0,10.3,9.1,246.3,1018,31,9.4,112.7,9.8,5,10,2023-01-01T07:17:57,2023-01-01T17:12:54,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1055W,KSUT,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-02,70.8,47.1,55.7,70.8,46.5,55.5,51.8,88.3,0,0,0,,0,0,8.1,7,263.8,1022.7,35.3,5.2,92.2,8,4,10,2023-01-02T07:18:08,2023-01-02T17:13:39,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1055W,KSUT,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-03,75.8,47.9,61.7,75.8,47.9,61.7,56.9,85.5,0,0,0,,0,0,23,15.9,202.8,1020.5,3.8,8.3,96.5,8.3,4,10,2023-01-03T07:18:17,2023-01-03T17:14:26,0.39,Clear,Clear conditions throughout the day.,clear-day,"1055W,KSUT,KILM,72302013748,SUNN7,72219103721"
Wilmington,2023-01-04,75.6,62.9,66.7,75.6,62.9,66.7,63.3,89.1,0.15,100,8.33,rain,0,0,36.4,19.6,212,1016.4,50.6,7.8,46,4,3,60,2023-01-04T07:18:25,2023-01-04T17:15:14,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"1055W,KSUT,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-05,71.9,55.9,63.9,71.9,55.9,63.9,51.7,69,0,0,0,,0,0,21.7,15.8,241.9,1016.8,31.1,9.9,115.4,10,5,10,2023-01-05T07:18:30,2023-01-05T17:16:03,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"1055W,KSUT,72309693727,99769599999,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-06,62.1,42.8,52.7,62.1,42,52,35.9,55.8,0,0,0,,0,0,17.2,13.7,271.3,1020.3,0,9.9,121.8,10.6,5,10,2023-01-06T07:18:34,2023-01-06T17:16:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"1055W,KSUT,99769599999,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-07,58.3,37.9,46.5,58.3,33.7,45.7,35.2,67.2,0,0,0,,0,0,16.1,11.6,36.2,1024.9,0,9.9,110.5,9.5,5,10,2023-01-07T07:18:35,2023-01-07T17:17:44,0.52,Clear,Clear conditions throughout the day.,clear-day,"1055W,KSUT,72309693727,99769599999,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-08,58.2,36.4,48.1,58.2,34.4,47.7,40.5,76,0,0,0,,0,0,17.2,8.8,51.9,1024.7,52.8,9.9,83.6,7.4,4,10,2023-01-08T07:18:35,2023-01-08T17:18:36,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"1055W,KSUT,99769599999,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-09,58.7,39.6,51.4,58.7,39.6,51,40.7,68.8,0,0,0,,0,0,25.6,17.5,325.2,1017.5,10.2,9.9,118,10.1,5,10,2023-01-09T07:18:33,2023-01-09T17:19:29,0.59,Clear,Clear conditions throughout the day.,clear-day,"1055W,KSUT,99769599999,72302013748,KILM,SUNN7,72219103721"
Wilmington,2023-01-10,59.5,32.9,44.6,59.5,32.9,44.6,34.1,70.6,0,0,0,,0,0,11.4,7.7,199.8,1019.2,0,9.6,107.9,9.3,4,10,2023-01-10T07:18:29,2023-01-10T17:20:22,0.63,Clear,Clear conditions throughout the day.,clear-day,"1055W,KSUT,99769599999,72302013748,KILM,SUNN7,72219103721"
