name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"winston-salem, nc",2023-01-01,61,48.8,53.1,61,47,52.7,50.9,92.8,0.002,100,4.17,rain,0,0,9.2,8,235.6,1018.4,69.9,4.3,55.2,4.7,3,10,2023-01-01T07:31:58,2023-01-01T17:17:15,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-02,57,45,50.5,57,43.3,50.3,49.4,95.9,0,0,0,,0,0,10.3,5.8,226.9,1022,84.2,3,46.9,4,2,10,2023-01-02T07:32:08,2023-01-02T17:18:03,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,72317013723,KINT,E7058,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-03,69.1,56,61.6,69.1,56,61.6,56.9,85,0.164,100,16.67,rain,0,0,29.8,11.4,209.5,1017.9,90.5,9.7,40.9,3.7,2,10,2023-01-03T07:32:15,2023-01-03T17:18:51,0.39,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-04,62.9,57.8,60.4,62.9,57.8,60.4,58.7,94.2,0.504,100,29.17,rain,0,0,23,11.4,219.3,1013,84.9,7.9,19.2,1.6,1,10,2023-01-04T07:32:21,2023-01-04T17:19:41,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-05,65,45,56,65,45,56,41.1,63.5,0,0,0,,0,0,19.7,9.3,255.4,1014.9,46.9,7.5,105.6,9,4,10,2023-01-05T07:32:25,2023-01-05T17:20:31,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-06,56,40.9,47.9,56,39.3,46.4,26.2,43.3,0,0,0,,0,0,20.8,11.2,284.7,1019.8,0.7,9.9,99.6,8.6,4,10,2023-01-06T07:32:26,2023-01-06T17:21:23,0.5,Clear,Clear conditions throughout the day.,clear-day,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-07,51.1,35.9,42.8,51.1,33.6,42.2,29.4,60.1,0,0,0,,0,0,13.9,6.9,203,1024.9,31.9,9.9,63,5.4,4,10,2023-01-07T07:32:26,2023-01-07T17:22:16,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,AU509,72317013723,KINT,E7058,0585W,0443W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-08,40.8,35.9,37,38,30.3,34.2,31.6,81.2,0.153,100,29.17,rain,0,0,13.9,8,33.8,1025,93.9,7.9,18.4,1.5,1,10,2023-01-08T07:32:24,2023-01-08T17:23:10,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-09,53.9,35,42.9,53.9,30.9,40.8,31.7,68.6,0.001,100,4.17,rain,0,0,21.9,12.7,308.5,1019.1,35.8,6.9,107,9.3,5,10,2023-01-09T07:32:20,2023-01-09T17:24:05,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-10,55.1,29,40.5,55.1,28.8,40.2,27.1,61.7,0,0,0,,0,0,10.3,4.8,234.8,1018.4,2.7,9.9,106.5,9.3,5,10,2023-01-10T07:32:14,2023-01-10T17:25:00,0.63,Clear,Clear conditions throughout the day.,clear-day,"72207953888,72317013723,KINT,0585W,0443W,72319393807,KEXX,KGSO"
"winston-salem, nc",2023-01-11,57.8,35.8,46.3,57.8,31.1,44.7,33.2,61.4,0,0,0,,0,0,11.4,10.3,67.6,1019.2,34.3,9.9,82.5,7.1,4,10,2023-01-11T07:32:06,2023-01-11T17:25:57,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72207953888,72317013723,KINT,0585W,72319393807,KEXX,KGSO"
