name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ocracoke nc,2023-01-01,64.2,48.6,58.2,64.2,48.6,58.2,55.3,90.5,0,0,0,,0,0,18.3,7.8,270.6,1017.3,45.2,5.4,124.1,10.6,6,10,2023-01-01T07:12:20,2023-01-01T17:02:48,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-02,63.7,46.7,54.7,63.7,44.8,54.6,51.9,90.6,0,0,0,,0,0,10.3,6.4,248.6,1022.2,0.1,7.2,124.8,10.7,6,10,2023-01-02T07:12:30,2023-01-02T17:03:34,0.35,Clear,Clear conditions throughout the day.,clear-day,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-03,71.4,50.3,61.4,71.4,50.3,61.4,58.8,91.6,0,0,0,,0,0,18.3,11.5,221.2,1020.7,2.6,8,108.5,9.4,5,10,2023-01-03T07:12:39,2023-01-03T17:04:21,0.39,Clear,Clear conditions throughout the day.,clear-day,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-04,71.4,64.2,67,71.4,64.2,67,64.3,91.3,0.023,100,12.5,rain,0,0,28.4,14.1,218.5,1016.5,25.2,7.4,75.5,6.5,5,30,2023-01-04T07:12:45,2023-01-04T17:05:10,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-05,68,56.5,62.7,68,56.5,62.7,57.1,82.6,0,0,0,,0,0,23,12.6,240.3,1015.9,35.8,9.1,119.7,10.3,5,10,2023-01-05T07:12:50,2023-01-05T17:06:00,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"K2DP,99999900370,72313993729,LOLN7,72303793765,TS161,KHSE"
ocracoke nc,2023-01-06,58.7,50.3,54.4,58.7,50.3,54.4,41.5,62,0,0,0,,0,0,24.2,11.2,275,1018.7,0,9.9,136.2,11.9,6,10,2023-01-06T07:12:52,2023-01-06T17:06:51,0.5,Clear,Clear conditions throughout the day.,clear-day,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-07,52.7,41,47.9,52.7,41,47.2,39.1,72.4,0,0,0,,0,0,20.8,6.9,333.7,1024.5,10.2,9.9,93.4,8,5,10,2023-01-07T07:12:53,2023-01-07T17:07:43,0.52,Clear,Clear conditions throughout the day.,clear-day,"99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-08,59.5,36,48.6,59.5,33.8,48,40.4,74.7,0.031,100,12.5,rain,0,0,25.3,12,70.2,1025.5,50,9.7,86,7.3,5,10,2023-01-08T07:12:52,2023-01-08T17:08:35,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-09,59.3,46,51.2,59.3,42.8,49.6,46,82.6,0.224,100,16.67,rain,0,0,26.4,13.2,303.5,1016.4,56.4,9.3,105.7,9,6,10,2023-01-09T07:12:49,2023-01-09T17:09:29,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE"
ocracoke nc,2023-01-10,53.2,37.2,45.2,53.2,35.1,44.5,37,74,0,0,0,,0,0,17.2,6.7,306.6,1019.1,3.4,9.8,121.9,10.5,5,10,2023-01-10T07:12:44,2023-01-10T17:10:23,0.63,Clear,Clear conditions throughout the day.,clear-day,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-11,56.2,38.9,47.7,56.2,37.9,46.9,40.8,77.5,0,0,0,,0,0,17.2,8.5,48.6,1020.8,7.5,9.7,111,9.7,5,10,2023-01-11T07:12:37,2023-01-11T17:11:19,0.66,Clear,Clear conditions throughout the day.,clear-day,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-12,68.6,52.4,62.1,68.6,52.4,62.1,55,78.1,0.057,100,20.83,rain,0,0,34.4,18.5,196.7,1018.1,73.7,9.1,101.5,8.8,5,10,2023-01-12T07:12:29,2023-01-12T17:12:15,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"K2DP,99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-13,66.5,48,57.9,66.5,43.2,57.2,52.3,81.8,0.151,100,45.83,rain,0,0,35,22.8,247.2,1005.9,87.6,8.3,23.3,2,1,30,2023-01-13T07:12:18,2023-01-13T17:13:11,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"K2DP,99999900370,72313993729,LOLN7,72303793765,TS161,KHSE,D9307"
ocracoke nc,2023-01-14,47.6,38.1,41.9,43.1,30.1,35.1,32.9,70.4,0.018,100,8.33,rain,0,0,29.9,16.2,348.4,1008.7,91.6,9.7,15.3,1.4,1,10,2023-01-14T07:12:05,2023-01-14T17:14:09,0.75,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"99999900370,72313993729,LOLN7,72303793765,KHSE"
ocracoke nc,2023-01-15,44.8,35.1,39.2,39.5,26.1,32.3,28.4,65.2,0,0,0,rain,0,0,30,13.7,329.6,1016.1,52.3,9.9,145.3,12.6,6,10,2023-01-15T07:11:51,2023-01-15T17:15:07,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"99999900370,72313993729,LOLN7,72303793765,TS161,KHSE,D9307"
ocracoke nc,2023-01-16,51.3,36.9,43,51.3,30.2,38.7,31,63.1,0,0,0,rain,0,0,26.4,9.9,303.1,1016.8,0,9.9,146.6,12.7,6,10,2023-01-16T07:11:35,2023-01-16T17:16:05,0.83,Clear,Clear conditions throughout the day.,clear-day,"99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-17,58.3,43.5,52.8,58.3,40.6,51.9,42.5,68.4,0.033,100,12.5,rain,0,0,31.1,14.2,241.5,1012.6,49.2,9.5,51.7,4.5,2,10,2023-01-17T07:11:16,2023-01-17T17:17:04,0.86,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-18,63.9,50.1,55.1,63.9,50.1,55.1,50.8,85.7,0,0,0,rain,0,0,26.4,11.9,259.5,1015.2,2.4,9.6,136,11.8,6,10,2023-01-18T07:10:56,2023-01-18T17:18:03,0.89,Clear,Clear conditions throughout the day.,clear-day,"99999900370,72313993729,LOLN7,72303793765,TS161,KHSE,D9307"
ocracoke nc,2023-01-19,66.8,46.7,59,66.8,45.4,59,55.5,88.4,0,0,0,,0,0,33.3,16.9,218.1,1014.5,18.3,7.4,73.4,6.3,3,10,2023-01-19T07:10:34,2023-01-19T17:19:03,0.93,Clear,Clear conditions throughout the day.,clear-day,"99999900370,72313993729,LOLN7,72303793765,TS161,KHSE,D9307"
ocracoke nc,2023-01-20,63.6,48.7,57.5,63.6,46,57.2,47.2,69.5,0,0,0,,0,0,27.5,15.2,263.5,1012,0,9.1,138.5,12,6,10,2023-01-20T07:10:10,2023-01-20T17:20:03,0.96,Clear,Clear conditions throughout the day.,clear-day,"99999900370,72313993729,LOLN7,72303793765,KHSE,D9307"
ocracoke nc,2023-01-21,48.1,40.7,44.7,45.4,37.1,41.1,32.9,63.2,0,0,0,,0,0,26.4,10.2,18.3,1022.2,1,9.9,134.9,11.6,5,10,2023-01-21T07:09:45,2023-01-21T17:21:04,0,Clear,Clear conditions throughout the day.,clear-day,"99999900370,72313993729,LOLN7,72303793765,TS161,KHSE,D9307"
