name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"High Point, NC",2023-01-01,59.1,48.3,51.9,59.1,45.7,51.3,50.3,94.3,0.023,100,8.33,rain,0,0,10.3,7.4,254.8,1018.1,70.3,4.3,67.2,5.7,4,10,2023-01-01T07:30:39,2023-01-01T17:16:42,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72207953888,E8956,D2048,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-02,59.2,44.7,50.7,59.2,43.4,50.3,49.1,94.2,0.002,100,4.17,rain,0,0,10.3,6.4,249.1,1021.6,79,4.3,76.5,6.6,3,10,2023-01-02T07:30:48,2023-01-02T17:17:29,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72207953888,E8956,D2048,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-03,67.6,53.9,60.4,67.6,53.9,60.4,56.4,86.8,0.096,100,16.67,rain,0,0,29.8,14.3,207.9,1017.7,93.1,9.5,67,5.9,4,10,2023-01-03T07:30:56,2023-01-03T17:18:17,0.39,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-04,61.7,57.1,59.4,61.7,57.1,59.4,57.9,95.1,0.815,100,33.33,rain,0,0,25.3,13.6,227.2,1012.8,91.9,8.2,24.4,2,2,10,2023-01-04T07:31:02,2023-01-04T17:19:07,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO,0783W"
"High Point, NC",2023-01-05,64.6,46.4,55,64.6,44.4,54.8,42.1,66.9,0,0,0,,0,0,19.7,12.9,253.5,1014.7,50,7.6,140.2,12.1,6,10,2023-01-05T07:31:06,2023-01-05T17:19:57,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-06,54.6,38.9,46.1,54.6,35,44.1,27.7,49.4,0,0,0,,0,0,20.8,12.5,288.7,1019.5,22.5,9.9,139.3,12.1,6,10,2023-01-06T07:31:07,2023-01-06T17:20:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-07,49.9,35.8,41.2,49.6,33.8,40.3,30.4,66.4,0,0,0,,0,0,13.9,7.6,257.1,1024.6,59.3,9.9,66.7,5.8,4,10,2023-01-07T07:31:07,2023-01-07T17:21:41,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5962,72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-08,37.6,34.7,36.3,37.6,29.5,33.4,31.8,83.9,0.172,100,37.5,"rain,snow",0,0,13.9,8.1,46.5,1024.7,96.1,8.2,24,1.9,1,10,2023-01-08T07:31:05,2023-01-08T17:22:35,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"E5962,72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-09,52.6,34,41.7,52.6,29.7,39.2,32.3,72.6,0.011,100,4.17,rain,0,0,19.5,11,313.6,1018.7,44.4,6.9,150.6,13.1,7,10,2023-01-09T07:31:01,2023-01-09T17:23:30,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-10,54,28.8,39.9,54,25.7,39.7,29.5,68.5,0,0,0,,0,0,11.4,7.2,241.8,1018.1,46.5,9.9,143.1,12.3,6,10,2023-01-10T07:30:55,2023-01-10T17:24:25,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-11,57.4,32.9,45,57.4,30.4,43.9,34.6,68.4,0,0,0,,0,0,11.4,10.4,92.2,1018.9,62.3,9.9,117.2,10.1,6,10,2023-01-11T07:30:47,2023-01-11T17:25:22,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-12,62,47,52.6,62,45.6,52.3,46.2,79.1,0.742,100,25,rain,0,0,34.4,15.4,173.1,1013.6,97.5,9.2,36.5,3.3,2,10,2023-01-12T07:30:38,2023-01-12T17:26:19,0.69,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO,0783W"
"High Point, NC",2023-01-13,53.3,37.6,46.5,53.3,30.6,42.4,35.8,68,0.357,100,25,"rain,snow",0,0,28.9,18.3,307.8,1007.4,76.1,9.4,134.7,11.6,7,10,2023-01-13T07:30:26,2023-01-13T17:27:17,0.73,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"72207953888,E8956,D2048,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-14,42.8,28.6,36.1,34.8,20.6,29,20.5,53.1,0,0,0,"rain,snow",0,0,31.1,18.4,329.1,1013.8,61.9,9.9,131,11.2,7,10,2023-01-14T07:30:12,2023-01-14T17:28:15,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-15,52.6,25,36.8,52.6,20.1,33.8,11.8,39.2,0,0,0,"rain,snow",0,0,17.2,7.3,333,1019.7,17.6,9.9,157.6,13.6,6,10,2023-01-15T07:29:56,2023-01-15T17:29:14,0.79,Clear,Clear conditions throughout the day.,clear-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-16,54,27.3,40.8,54,25.4,40.2,16.7,41.8,0,0,0,"rain,snow",0,0,10.3,5.7,245,1017.8,40.6,9.9,128,11.1,6,10,2023-01-16T07:29:39,2023-01-16T17:30:14,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO"
"High Point, NC",2023-01-17,49.2,43.2,46.7,45.7,42.3,43.7,37.9,74.2,0.075,100,33.33,rain,0,0,24.2,9.6,233.2,1010.6,91.6,7.9,27.8,2.4,1,10,2023-01-17T07:29:19,2023-01-17T17:31:14,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72207953888,E8956,72317013723,KINT,72319393807,KEXX,KGSO,0783W"
