city_id,City,Latitude,Longitude
nc01,Asheville,35.59289957,-82.55773262
nc02,Banner Elk,36.16336043,-81.87208505
nc03,Boone,36.21674864,-81.67600272
nc04,Charlotte,35.23032844,-80.84383959
nc05,Cherokee,35.47708136,-83.31873877
nc06,Emerald Isle,34.67991635,-76.95483291
nc07,High Point,35.95540766,-80.00709723
nc08,Nags Head,35.9576882,-75.62090722
nc09,Ocracoke,35.11342242,-75.98698031
nc10,Raleigh,35.78271834,-78.63569525
nc11,Wilmington,34.21046162,-77.88339901
nc12,Winston-Salem,36.10035652,-80.24620938
